question,subject,text,rating,reputation,num_upvotes,num_thanks,href,question_timestamp
"What is a tariff?
A. tax on a business to increase revenue 
B. tax on imports to protect local and national business 
C. tax on exports from local businesses to make money 
D. payment for purchase of means to produce goods",Business,A tariff is a tax on imports from other countries. ,5,Ambitious,2,5,https://brainly.com/question/998050,1455864813
"What does this line of code in Python do?:
for i in range 100:
fd(200)
rt(91)
",Computers and technology,"Brainly User
This line of code tells the ""turtle"" to move forward 200 pixels and right 91°, 100 times.
Click to let others know, how helpful is it
5.0
1 vote

THANKS
2
Report
",5,Brainly User,1,2,https://brainly.com/question/953921,1454721408
"The probabilities of contamination in medicine capsules from the presence of heavy metals and different types of microbes are given in the table. If capsule A shows microbial contamination, what is the chance that the contamination is from Salmonella?",Mathematics,"I might not be correct but I'm pretty
0.31
",3,Ambitious,6,6,https://brainly.com/question/9563916,1523364857
"The probabilities of contamination in medicine capsules from the presence of heavy metals and different types of microbes are given in the table. If capsule A shows microbial contamination, what is the chance that the contamination is from Salmonella?",Mathematics,The answer should be 0.31,2,Helping Hand,6,5,https://brainly.com/question/9563916,1523364857
"Question: The United States is composed of 50 states, each with its own state government, but only the U.S. Congress has the power to issue currency. Explain why it is important that state governments are not allowed to make and distribute their own money. Give specific examples and details to support your answer.

The only part I need help with is why they don't have the power to issue their own? We are doing economics and are on the history of money. I appreciate any help I can get! Please dont leave the answer just help me because I need to come up with my own solution. 
Thanks :)
",Social studies,"Since the U.S.A is one country, one currency would allow the states to regulate each-other, whilst allowing trade to flow freely and easily. ",4,Ambitious,2,6,https://brainly.com/question/992255,1455767118
The medicine capsule shown consists of a cylinder with a hemisphere at each end. The total length of the capsule is 15 millimeters. The diameter is 5 millimeters. Which choice is the best approximation of the total surface area of the capsule? Use 3.14 to approximate pi.,Mathematics,take it apart mentally cylinder+2hemispheres 2hemispheres=2half spheres=1 sphere 15=radius of sphere+legnth of cylinder+radius of spehre diameter=5 d/2=5/2=r 15=2.5+legnth+2.5 10=legnth of cylinder surface area of sphere=4pir^2 surface area of cylinder (not including bases) is pidh sphere radius=2.5 SA=4pi2.5^2 SA=4pi6.25 SA=25pi SA=78.5 sphere area SA=5pi10 SA=50pi SA=157 add them 78.5+157=235.5 mm^2,5,Ambitious,2,3,https://brainly.com/question/9313608,1521808533
"Which of the following is NOT an example of barriers to entry?
a.
Cable companies must lay miles of underground cable before they can serve a single customer in a new market.
b.
In some counties, laws require retail stores to be closed on Sundays.
c.
An entrepreneur wishing to own a clothing store must rent a building, hire workers, and buy clothing for sale.
d.
A person who wishes to practice medicine is required to attend medical school, complete an internship, and pass a state exam.",History,"the answer is that in soome counties, laws require retail stores to be colsed on sundays ",5,Ambitious,3,3,https://brainly.com/question/9350363,1522085514
"

Species are disappearing at an accelerating rate through human action, primarily habitat destruction but also pollution and the introduction of exotic species into residual natural environments. I have said that a fifth or more of the species of plants and animals could vanish or be doomed to early extinction by the year 2020 unless better efforts are made to save them. . . . As the last forests are felled [destroyed] in forest strongholds like the Philippines and Ecuador, the decline of species will accelerate even more. In the world as a whole, extinction rates are already hundreds or thousands of times higher than before the coming of man. They cannot be balanced by new evolution in any period of time that has meaning for the human race.


Why should we care? What difference does it make if some species are extinguished, if even half of all the species on earth disappear? Let me count the ways. New sources of scientific information will be lost. Vast potential biological wealth will be destroyed. Still undeveloped medicines, crops, pharmaceuticals, timber, fibers, pulp, soil-restoring vegetation, petroleum substitutes, and other products and amenities will never come to light. 


Based on the excerpt, which statement best summarizes the author’s beliefs about the disappearing species?

The loss of plant species and habitats will lead to widespread animal extinction.

The loss of plant species and habitats will lead to environmental problems in remote regions.

The loss of plant species and habitats will displace animals and decrease human wealth.

The loss of plant species and habitats will devastate animals and hinder human progress.",English,"Hi! :)

Answer: The loss of plant species and habitats will lead to widespread animal extinction.

This tragedy and ongoing onslaught of human exploitation of the earth's resources could cause serious effects on our environment and the living organisms that thrive on these ecosystems and habitats.",5,Ambitious,3,3,https://brainly.com/question/9420221,1522455047
How might your use of computers and knowledge of technology systems affect your personal and professional success?,Computers and technology,Amost all professions include theuse of computers. Knowing a lot about them and the way they work could help you use them when needed in a work environment. It would also make an employer more likely to hire you.,3,Helping Hand,1,8,https://brainly.com/question/769166,1447419524
Converting Terminology via computers.. A. Cryptography . B. Technology . C. Geometry . D. Geology,Computers and technology,"converting terminology via computers is called : B. Technology

Cryptography is the art of writing and solving code

Geometry is one of the branches of math that focus on figures.

Geology is study about the earth

Hope this helps",3,Brainly Champion,8,14,https://brainly.com/question/1799640,1474369816
"Read the excerpt from ""A Quilt of a Country.""

The New York of my children is no more Balkanized, probably less so, than the Philadelphia of my father, in which Jewish boys would walk several blocks out of their way to avoid the Irish divide of Chester Avenue. (I was the product of a mixed marriage, across barely bridgeable lines: an Italian girl, an Irish boy. How quaint it seems now, how incendiary then.) The Brooklyn of Francie Nolan's famous tree, the Newark of which Portnoy complained, even the uninflected WASP suburbs of Cheever's characters: they are ghettos, pure and simple. Do the Cambodians and the Mexicans in California coexist less easily today than did the Irish and Italians of Massachusetts a century ago? You know the answer.

What technique does Quindlen use to support the idea that America is less polarized now than it was in past history?


A) facts and statistics
B) neutral language
C) quotations from other people
D) vivid imagery﻿",English,Vivid imagery. I hope this helps.,5,Helping Hand,6,11,https://brainly.com/question/3897679,1495807057
"When one says that e-commerce takes away the physical boundaries in doing business, it’s mostly referring to the actual business transaction – the buying and selling, not to the delivery of what was purchased if that is a physical product",Computers and technology,Do you have answer choices?,5,Helping Hand,1,0,https://brainly.com/question/9931072,1525276718
"During the height of Muslim power, inventions included
A.the astrolabe.
B.mathematics.
C.the thermometer.
D.herbal medicine.",History,the answer would be B mathematics ,2,Beginner,3,2,https://brainly.com/question/932332,1454256295
PLZ HELP ME SCIENCE PEA PLANTS,Biology,Inheritance is randomly chosen from the current gene pool. It's randomly decided whether offspring will receive certain types of traits from a certain parent. There are also dominant traits and recessive traits. Dominant traits are traits that overshadow recessive traits.,5,Frequent Answerer,2,2,https://brainly.com/question/9972038,1525474922
"PLZ HELP ASAP!
Read the excerpt from Fast Food Nation. 

The labor practices of the fast food industry have their origins in the assembly line systems adopted by American manufacturers in the early twentieth century. Business historian Alfred D. Chandler has argued that a high rate of “throughput” was the most important aspect of these mass production systems. A factory’s throughput is the speed and volume of its flow—a much more crucial measurement, according to Chandler, than the number of workers it employs or the value of its machinery. 

Which of the following choices best describes the evidence used in this excerpt? 
A. An expert’s opinion provides historical background of an important concept.
B. An expert’s viewpoint presents a counterclaim to the author’s argument.
C. Statistical and factual evidence prove the author’s claim.
D. Personal experience creates persuasive, emotional appeal.",English,A. An expert's opinion provides historical background of an important concept.,5,Ambitious,6,6,https://brainly.com/question/9971847,1525472359
"Choose the best definition for the following term: substitution
Which would it be?

A) A letter that holds the place for some unknown value in mathematics
B) A process where you must look for terms that have identical variable parts and then combine their coefficients
C) A process where if two things are equal, one can be put in the place of the other and nothing will change
D) Terms that have identical variable parts",Mathematics,The answer is a because you are substituting a number or something else . You are trying to hold a place for the unknown value or amount. Your welcome ☺️.,4,Beginner,8,14,https://brainly.com/question/986549,1455655230
"Which plan was created by general Scott to defeat the confederacy 
A. Merrimack plan
B. Monitor plan
C. Anaconda plan 
D. Python plan",History,"The correct answer would be the ""Anaconda Plan""

The Anaconda Plan was the Union's strategic plan to defeat the Confederacy at the start of the American Civil War. The goal was to defeat the rebellion by blockading southern ports and controlling the Mississippi river. This would cut off and isolate the south from the outside world. 
",5,Ambitious,2,7,https://brainly.com/question/8840707,1519232319
"Which plan was created by general Scott to defeat the confederacy 
A. Merrimack plan
B. Monitor plan
C. Anaconda plan 
D. Python plan",History,"The answer is C. the Anaconda plan, because the wraped around the confederates, then they pushed forword surrounding them. 

Hoped this Helped xD",5,Ambitious,2,4,https://brainly.com/question/8840707,1519232319
Glenn has a family history of diabetes. Which lifestyle change should he adopt to lower his chances of developing diabetes? Avoid sugar and sugar products and undergo regular medical tests every month. Exercise for 30 minutes every day and eat nutritious meals that are low in sugar and saturated fats. Exercise for 30 minutes every day and undergo regular medical tests every month. Eat nutritious meals that are low in sugar and saturated fats and take dietarysupplements.,Health,"He should exercise for 30 minutes every day and undergo regular medical tests every month. Eat nutritious meals that are low in sugar and saturated fats and take dietary supplements. 
",1,Beginner,1,0,https://brainly.com/question/9932162,1525281727
Glenn has a family history of diabetes. Which lifestyle change should he adopt to lower his chances of developing diabetes? Avoid sugar and sugar products and undergo regular medical tests every month. Exercise for 30 minutes every day and eat nutritious meals that are low in sugar and saturated fats. Exercise for 30 minutes every day and undergo regular medical tests every month. Eat nutritious meals that are low in sugar and saturated fats and take dietarysupplements.,Health,The last one is the correct answer :),5,Beginner,1,0,https://brainly.com/question/9932162,1525281727
"The terms provided apply to what game?
(Opening, Rank, File, fianchetto, and Sicilian?)
A. Checkers
B. American Football
C. La-cross
D. Chess
E. Chinese Go. 
F. Baseball
G. Football
",Arts,Those terms all apply to the game of chess.,3,Ambitious,3,4,https://brainly.com/question/999760,1455896451
"The terms provided apply to what game?
(Opening, Rank, File, fianchetto, and Sicilian?)
A. Checkers
B. American Football
C. La-cross
D. Chess
E. Chinese Go. 
F. Baseball
G. Football
",Arts,"Brainly User
These terms apply to the game of CHESS.
The terms mean different things from strategy to opening.
Click to let others know, how helpful is it
3.0
2 votes

THANKS
2
Comments (5+) Report
See more comments
Comment has been deleted

no. like I said, it has been like 2 years since I last played. I did it for a class I was taking.
I see.

Comment has been deleted
cool
",3,Brainly User,2,2,https://brainly.com/question/999760,1455896451
"An allusion can be reference to___.

A) the bible
B) mythology
C) an important even in history
D) all of these",English,"D) All of these. An allusion is a indirect or passing reference
",5,Ambitious,2,3,https://brainly.com/question/995945,1455827619
"1. Where is Valentina from
2. How old is she 
3. What business does her family own
",Spanish,"Madrid, Spain
14 years old
A restaurant",3,Helping Hand,1,2,https://brainly.com/question/9914620,1525204600
"1. Where is Valentina from
2. How old is she 
3. What business does her family own
",Spanish,"Valentina is 14 years old, she is from Madrid, which is the capital of Spain, and her family runs a tapas restaurant. 
",4,Ambitious,1,1,https://brainly.com/question/9914620,1525204600
Which of the following is the most common use of mobile technology for small and medium businesses? Fleet management and service Delivery and pickup processes Managing sales and invoice data Social media and email marketing,Computers and technology,Social media and email marketing,5,Ambitious,1,1,https://brainly.com/question/9965002,1525431660
"I NEED HELP RIGHT AWAY PLEASE!!!!!! 20 points
Read the passage below about acupuncture. 

Acupuncture is an alternative medicine that uses wire-thin needles inserted by a trained practitioner into specific points in the body. This ancient form of pain relief and stimulation is said to benefit patients by blocking channels which practitioners claim allow pain to travel within the body. This practice became more widely recognized and used after a New York Times reporter wrote in 1971 of a positive experience with it after surgery. 

Those who doubt the effectiveness of this treatment for pain attribute the pain relief to a placebo effect: if a patient believes something will reduce their pain, they will experience some relief. The National Institutes of Health says that acupuncture relieves pain and reduces nausea and vomiting, although it is unclear how it works. The few adverse effects reported are due to improperly sterilized needles or improper delivery, making this still a fairly low risk option. For anyone considering acupuncture, they should first research its effectiveness for their specific condition. 

-Summary of statements published by the National Institutes of Health

After reading the passage about acupuncture, identify which statement supports the claim that acupuncture relieves pain.

-It is ancient, alternative medicine that has been used for thousands of years.

-If you do research, you can find the specific types of pain that acupuncture will effectively relieve.

-A New York Times reporter wrote about the effectiveness of this treatment in relieving his surgery pain.

-The National Institutes of Health found it effective in reducing pain and other symptoms, but it is not clear how it works.",Biology,"I believe it would be the last one since it is from the national institutes of heath, and that it the most reliable source.",3,Ambitious,2,2,https://brainly.com/question/9428176,1522527013
"I NEED HELP RIGHT AWAY PLEASE!!!!!! 20 points
Read the passage below about acupuncture. 

Acupuncture is an alternative medicine that uses wire-thin needles inserted by a trained practitioner into specific points in the body. This ancient form of pain relief and stimulation is said to benefit patients by blocking channels which practitioners claim allow pain to travel within the body. This practice became more widely recognized and used after a New York Times reporter wrote in 1971 of a positive experience with it after surgery. 

Those who doubt the effectiveness of this treatment for pain attribute the pain relief to a placebo effect: if a patient believes something will reduce their pain, they will experience some relief. The National Institutes of Health says that acupuncture relieves pain and reduces nausea and vomiting, although it is unclear how it works. The few adverse effects reported are due to improperly sterilized needles or improper delivery, making this still a fairly low risk option. For anyone considering acupuncture, they should first research its effectiveness for their specific condition. 

-Summary of statements published by the National Institutes of Health

After reading the passage about acupuncture, identify which statement supports the claim that acupuncture relieves pain.

-It is ancient, alternative medicine that has been used for thousands of years.

-If you do research, you can find the specific types of pain that acupuncture will effectively relieve.

-A New York Times reporter wrote about the effectiveness of this treatment in relieving his surgery pain.

-The National Institutes of Health found it effective in reducing pain and other symptoms, but it is not clear how it works.",Biology,"Brainly User
i think the answer would be the last one
Click to let others know, how helpful is it
0.0
0 votes

THANKS
1
Comments Report

",0,Brainly User,0,1,https://brainly.com/question/9428176,1522527013
"I REALLY NEED HELP!!

MEMO: Cuban military invaded Eastern Mexico in a surprise attack. Cuba intends to gain territory and control of passage into the Gulf of Mexico. We need your recommendation as soon as possible.

To: President of the United States of America 
Subject: Attack on Mexico 
(This introductory paragraph should quickly explain the purpose of the memo. It should have at least five complete sentences that answer these questions: What international organizations could be contacted about this conflict? Why would you contact them?)

(This second paragraph should address the action you recommend. It should have at least five complete sentences that answer these questions: How would you respond to the situation? Where would your response fall on the foreign policy spectrum? How does a conflict from history support your planned response?)

This needs to include:
-an international organization to contact and why
-a strategy from the foreign policy spectrum you would use and why
-a time in history that resembles your m=planned response.

Someone, please help me I need this done quickly and I really need help!!",History,"he Military history of Cuba begins with the island's conquest by the Spanish and its battles afterward to gain its independence. Since the Communist takeover by Fidel Castro in 1959, Cuba has been involved with many major conflicts of the Cold War in Africa and Latin America where it had supported Marxist governments and rebels from liberation movements who were opposed to their colonial masters and/or allies of the United States.",5,Helping Hand,2,3,https://brainly.com/question/9949578,1525358298
"Franz Mesmer’s theory of medicine was that illnesses, especially hysteria, were caused by which of the following?

A. unconsciously held beliefs about ill health
B. close contact with unclean animals and germs
C. misalignment of the body’s magnetic fluids
D. childhood psychoses, which caused mental illness

",Physics,it is C...hope this helps i took the test ,5,Ambitious,3,3,https://brainly.com/question/9446024,1522692692
"Franz Mesmer’s theory of medicine was that illnesses, especially hysteria, were caused by which of the following?

A. unconsciously held beliefs about ill health
B. close contact with unclean animals and germs
C. misalignment of the body’s magnetic fluids
D. childhood psychoses, which caused mental illness

",Physics,"Answer is C. I also just took the test, got 100%.",5,Helping Hand,3,2,https://brainly.com/question/9446024,1522692692
"For a science experiment, Marley wanted to compare the heights of five different plants she was growing. Which type of graph would best display this information

A. line graph
B. bar graph
C. line plot
D. circle graph

HELP ASAP! NO GUESSING!",Mathematics,A bar graph would be best fit for this,4,Beginner,3,2,https://brainly.com/question/9968218,1525447162
Which of the following statements describes rational use of national forests? A.only large businesses should be allowed to harvest trees in national forests. B. there should be no restrictions on the land. C.national forests should be protected to make the best use of the nation's natural resources. D. national forests should ban lumbering completely.,History,"Brainly User
the answer is c hope this helps
Click to let others know, how helpful is it
5.0
13 votes

THANKS
47
Comments (1) Report

National forests should be protected to make the best use of the nation's natural resources.
",5,Brainly User,13,47,https://brainly.com/question/995815,1455825021
"_____ was a wealthy businessman, whose execution caused riots in Saint-Domingue.",Social studies,"the answer is the french revolution 

",2,Ambitious,3,1,https://brainly.com/question/9950958,1525364545
"7. in the biography nolan bushnell which of the following descriptions best reflects the authors feelings towards the impact of the computers on society
A. computers hinder the academic performances of many students
B. computers and technology promote exercise for the mind
C. the exploration of computers helps students achieve their dream and encourage students to study more computer science courses 
D. computers are technology need to be carefully monitored by parents
",English,Ok I would say C. But if c. is not correct than I'm terribly sorry but I hope you do well with your homework...,5,Brainly User,2,13,https://brainly.com/question/2673771,1485025093
What was it about Truman's background that helped make him a good president? A. He spent his entire adult life as a public servant. B. He had experience in a wide variety of jobs. C. He was a close friend of FDR's and learned a lot from him. D. He wrote many books on the history of American government.,History,Answers A and B are both correct.,4,Ambitious,132,181,https://brainly.com/question/999994,1455903366
What was it about Truman's background that helped make him a good president? A. He spent his entire adult life as a public servant. B. He had experience in a wide variety of jobs. C. He was a close friend of FDR's and learned a lot from him. D. He wrote many books on the history of American government.,History,"B,the answer to this problem is B",4,Beginner,159,228,https://brainly.com/question/999994,1455903366
"Mark the statement if it accurately describes European history and geography.	
A.
The Alps are mountains that made Napoleon’s invasion of Italy easy.
B.
The English Channel helped protect the island nation of Britain from invasion.
C.
Corsica is a small island in the Mediterranean Sea.
D.
The Congress of Vienna redrew the map of Europe to increase the size of the French Empire.
E.
Spain and Portugal form the Iberian Peninsula.",History,D. The Congress of Vienna redrew the map of Europe to increase the size of the French Empire.,4,Beginner,11,15,https://brainly.com/question/995764,1455824138
"The decline in U.S. manufacturing was balanced by all of the following, except?

a.
technology.
c.
computers.
b.
pharmaceuticals.
d.
agriculture.",History,"d.
agriculture

There is only branch among mentioned that didn't expended in employment market all other three was developing fast and become vita for U.S economy",5,Ambitious,2,4,https://brainly.com/question/1208147,1460644184
"I NEED THIS QUESTION ANSWERED ASAP!!! 
What makes the Chinese language so different from most other languages?
A. It is a tonal language
B. It is written in the Cyrillic alphabet
C. It uses only 12 sounds
D. It has no verbs",History,"The answer should be A.

It is a tonal language.",5,Expert,3,2,https://brainly.com/question/4291102,1499362317
"I NEED THIS QUESTION ANSWERED ASAP!!! 
What makes the Chinese language so different from most other languages?
A. It is a tonal language
B. It is written in the Cyrillic alphabet
C. It uses only 12 sounds
D. It has no verbs",History,"The answer is A 

Tonal language",5,Ambitious,1,2,https://brainly.com/question/4291102,1499362317
What do homologous structures have in common,Biology,"A homologous structure is an example of an organ or bone that appears in different animals, underlining anatomical commonalities demonstrating descent from a common ancestor. In other words, it's when very different animals have bones that appear very similar in form or function and seem to be related.",0,Ambitious,0,0,https://brainly.com/question/10368683,1528071669
What do homologous structures have in common,Biology,they hve the same genes in the same places,0,Beginner,0,0,https://brainly.com/question/10368683,1528071669
Write a conversation in French between yourself and a friend in which you talk about descriptions of people and things and make comparisons of people and things. Your conversation must be at least 12 lines long.,French,"
Garçon nommé Troy avait l'habitude de vivre à Detroit L'argent du gros dealer, il achetait des pièces de monnaie Était dans les fusillades avec la loi, mais il vit dans un palais
-
Ce mec nommé Michael utilisé pour faire de la moto XXXX plus gros qu'une tour, je ne parle pas d'Eiffel
Oh mon dieu, regarde ses fesses (Regardez ses fesses) Regardez, regardez, regardez Regardez, à ses fesses Peu au milieu mais elle a beaucoup de retour

(A real conversation i had between me and my friend while ppl watching)~",2,Helping Hand,2,0,https://brainly.com/question/10368697,1528071873
Write a conversation in French between yourself and a friend in which you talk about descriptions of people and things and make comparisons of people and things. Your conversation must be at least 12 lines long.,French,"Hi,


Jean : Salut Marc, tu vas bien?
Marc : Oui, merci. Je suis très content car il y a ma correspondante française qui vient me voir.
Jean : C'est génial ! Elle a quel âge? Elle s'appelle comment?

Marc : Elle a 17 ans. Elle s'appelle Marie.
Jean : Tu peux me la décrire?
Marc : Elle est grande, elle a les yeux bleus et les cheveux blonds. Elle aime beaucoup son pays mais adore parler anglais. Et ta correspondante?

Jean : Ma correspondante s'appelle Julie, elle à 15 ans. Elle est de taille moyenne, elle à les yeux marrons et les cheveux bruns. Elle parle trois langues, le français, l'italien et sa préféré est l'anglais.
Marc : Elle aime notre pays?
Jean : Oui beaucoup, mais elle aimerait visiter d'abord l'italie.
Marc : Elle a des frères et soeurs?
Jean : Oui, elle a deux frères. Et Marie?
Marc : Elle a une petite soeur qui a 2 ans.
Jean : Peut-être qu'un jour nous aurons la joie de nous retrouver tous les quatre et de faire connaissance.
Marc : Ca serait génial !

",5,Ace,1,0,https://brainly.com/question/10368697,1528071873
"Producers _____ labor, because they want and are willing to pay for people to work in their businesses.",History,"Producers DEMAND labor because they want and are willing to pay for people to work in their businesses.

The employees are the ones who supply labor. They are the human resource of any company. ",5,Ambitious,3,2,https://brainly.com/question/9953698,1525377924
"Producers _____ labor, because they want and are willing to pay for people to work in their businesses.",History,Demand because that’s what producers do,5,,1,1,https://brainly.com/question/9953698,1525377924
"The process of mummification was thought to help advance medicine because 
A. drawings were made from the internal organs.
B. removal of organs helped Egyptians study anatomy.
C. it allowed Egyptians to practice surgical procedures.
D. it helped contain disease.",Health,The answer is B- helped them study the anatomy.,5,Beginner,4,10,https://brainly.com/question/955611,1454822562
What is the process of discovery that allows us to link observations with actual facts? A. Science B. Inquiry C. Mathematics D. Repetition,Biology,"A. Science.

Science is the discovery of nature.",0,Helping Hand,0,2,https://brainly.com/question/9464624,1522792769
What is the process of discovery that allows us to link observations with actual facts? A. Science B. Inquiry C. Mathematics D. Repetition,Biology,"The answer would be A) Science.

Hope this Helps :)",0,Ambitious,0,1,https://brainly.com/question/9464624,1522792769
"3.) According to Karl Marx, human history shows that struggle develops between the thesis and its antithesis, leading to a synthesis. Marx called this historical change a

A) Radical transformation
B) Cyclical Activity
C) Dialectical process
D) Analytical process

8.) During some periods of time, there are very few social movements in society and, at other times, a wave of social movements will emerge. Ther number of social movements increases

A) During periods of economic expansion
B) When a society experiences population shrinkage
C) During periods of Political stability
D) When a society experiences a cultural crisis

9.) When missionaries introduced steel axes to the aborigines of Australia, it upset their entire society. This spreading of an invention from one society to another is referred to as

A) Discovery
B) Diffusion
C) Reformulation
D) Cultural lag

10.) if a large group of people organized to promote or resist social change, it is involved in a

A) Social movement
B) Moral panic
C) Social revolution
D) Riot",Social studies,"3.) According to Karl Marx, human history shows that struggle develops between the thesis and its antithesis, leading to a synthesis. Marx called this historical change a ""Dialectical process"".

The dialectical method is a mindset about reality that can be a critical apparatus for uncovering the passing and fleeting nature of a social framework that on occasion - maybe more often than not - has all the earmarks of being a reality as genuine and unfaltering as the floor at the base of the staircase.

8.) During some periods of time, there are very few social movements in society and, at other times, a wave of social movements will emerge. The number of social movements increases ""When a society experiences a cultural crisis"".


A social movement is a vast gathering of individuals who are composed to advance or oppose some social change. A social development is regularly in light of two variables - initially, whom the development is endeavoring to change, and second, how much change a development is upholding. Social developments can happen at the individual level or at the societal level, and they can advocate for either minor or radical changes. 

9.) When missionaries introduced steel axes to the aborigines of Australia, it upset their entire society. This spreading of an invention from one society to another is referred to as ""Diffusion"".


Ogburn's third procedure of social change is diffusion, the spread of innovation or revelation starting with one region then onto the next. Contact between societies is the wellspring of dissemination. Ogburn saw diffusion as the real procedure of social change and contends that it can have far achieving consequences for human connections. 

10.) if a large group of people organized to promote or resist social change, it is involved in a ""Social movement"".


A social development is a sort of gathering activity. Social developments can be characterized as ""hierarchical structures and techniques that may enable mistreated populaces to mount viable difficulties and oppose the all the more intense and advantaged elites"". They are expansive, now and again casual, groupings of people or associations which center around particular political or social issues. ",5,Ambitious,2,2,https://brainly.com/question/9970105,1525457727
"PLEASE I NEED HELP


what is the equation of the circle with center (-4 -3) that passes through the point (6,2)",Mathematics,"The general equation of the circle is:



(h,k) is the center of the circle and r is the radius. We are given the coordinates of the center. So we can write the equation of the circle as:



In order to complete the equation, we need the radius of the circle. Using the given point we can find the radius. Using the point in the above equation, we get:



Thus the value of r² is 125. Using the value in equation of the circle, we get:



The radius of the circle is √125.",0,Ace,0,0,https://brainly.com/question/10368742,1528073055
"PLEASE I NEED HELP


what is the equation of the circle with center (-4 -3) that passes through the point (6,2)",Mathematics,"The equation for a circle in standard form is .  We have the center, so we have the h and the k, and we have a point, so we have the x and the y.  Let's fill in accordingly and simplify. .  Solving for , we get that ,  Now we can use the info given plus our newly found radius and write the equation.  ",0,Virtuoso,0,0,https://brainly.com/question/10368742,1528073055
Which example shows BEST how colonial America was a market economy? A)	Colonists refused to pay taxes to the British crown. B)	Colonists could keep the profits from their businesses. C)	The British Navy protected colonists from foreign attacks. D)	The British crown limited colonial trade with foreign countries.,History,A)	Colonists refused to pay taxes to the British crown.,1,Ambitious,1,0,https://brainly.com/question/9953238,1525375685
Which example shows BEST how colonial America was a market economy? A)	Colonists refused to pay taxes to the British crown. B)	Colonists could keep the profits from their businesses. C)	The British Navy protected colonists from foreign attacks. D)	The British crown limited colonial trade with foreign countries.,History,The answer is B). colonists could keep the profits from their businesses,0,Beginner,0,0,https://brainly.com/question/9953238,1525375685
History !!!!!!!!!!!!!!!!,History,"1: Pulpit
2: Presbyterian
3: Pietist
4: Steal
5: Ticonderoga
6: Riot
7: Teenager
8: Seal
9: Treaty of Ulrecht

:)",5,Ambitious,2,4,https://brainly.com/question/7695909,1513194227
