question,subject,text,rating,reputation,num_upvotes,num_thanks,href,question_timestamp
"1) The immune system is designed to defend against bacteria, microbes, viruses, toxins, and what?
A) parasites
B) cuts
C) fever
D) algae


2) When something dies, the immune system continues to operate.
True
False


3) When you get a cut, what enters the body?



4) What is a result of the immune system doing its job on an infected cut?
A) scab
B) pus
C) bleeding
D) itching


5) Allergies are an overreaction of the immune system.
True
False



6) Lack of what vitamin causes rickets?
A) c
B) a
C) d
D) e



7) Swollen and bleeding gums, swollen joints and bruising are signs of what?
A) rickets
B) cancer
C) glaucoma
D) scurvy


8) If you do not get enough iron you get anemia.
True
False



9) When the liver is damaged from alcoholism, it is called:
A) cirrhosis
B) scurvy
C) anemia
D) rickets



10) What condition is spotted by melanoma?
A) scurvy
B) rickets
C) cancer
D) anemia



11) Polio causes paralysis by attacking what?
A) bones
B) nerve cells
C) blood cells
D) spinal fluid


12) List the 3 ways your body protects from infections.


13) What organ acts as a boundary between germs and your body?
A) thymus
B) heart
C) liver
D) skin



",Health,"
1-  A) Parasytes
2- False
3- Germs
4- Pus
5- True
6- C) Vitamin D
7- D) Scurvy
8- True
9- A) Cirrhosis
10-  ???
11-  ???
12-  Three ways that your body resistes infections are because of your mucous membranes, your skin and your immune system
13- D) Skin
",1,Beginner,1,0,https://brainly.com/question/9994736,1525658426
"1) The immune system is designed to defend against bacteria, microbes, viruses, toxins, and what?
A) parasites
B) cuts
C) fever
D) algae


2) When something dies, the immune system continues to operate.
True
False


3) When you get a cut, what enters the body?



4) What is a result of the immune system doing its job on an infected cut?
A) scab
B) pus
C) bleeding
D) itching


5) Allergies are an overreaction of the immune system.
True
False



6) Lack of what vitamin causes rickets?
A) c
B) a
C) d
D) e



7) Swollen and bleeding gums, swollen joints and bruising are signs of what?
A) rickets
B) cancer
C) glaucoma
D) scurvy


8) If you do not get enough iron you get anemia.
True
False



9) When the liver is damaged from alcoholism, it is called:
A) cirrhosis
B) scurvy
C) anemia
D) rickets



10) What condition is spotted by melanoma?
A) scurvy
B) rickets
C) cancer
D) anemia



11) Polio causes paralysis by attacking what?
A) bones
B) nerve cells
C) blood cells
D) spinal fluid


12) List the 3 ways your body protects from infections.


13) What organ acts as a boundary between germs and your body?
A) thymus
B) heart
C) liver
D) skin



",Health,"
1- A) Parasytes
2- False
3- Germs
4- Pus
5- True
6- C) Vitamin D
7- D) Scurvy
8- True
9- A) Cirrhosis
10.anemia
11.bones
12. Presence of WBC, skin, immune system
13.SKIN
",5,Virtuoso,1,0,https://brainly.com/question/9994736,1525658426
How many community college districts are there in texas?,Social studies,"
There are six of them 
",0,Beginner,0,0,https://brainly.com/question/9986670,1525586405
"In physical anthropology, why is it useful to examine sexual dimorphism?
a. it determines male and female social hierarchy.
b. it varies with the pattern of competition among males.
c. it relates to sexual courtship rituals in primates.
d. it is the study of sexual intercourse between primates.",Social studies,"I think the right answer is a. it determines male and female social hierarchy. Sexual dimorphism is the study of differences in each sex of the same species. These differences generally determine the hierarchical pattern adopted between the male and female members of the species. Males are usually the largest in many species, such as primates, and tend to have a higher social status.

I hope this answer can help you.
",0,Ambitious,0,0,https://brainly.com/question/9364489,1522152621
Which behavior is a sign that someone is having a heart attack? The person complains of chest pain and has difficulty breathing. The person clutches his or her throat and coughs. The person has a seizure.,Health,"
Males will have chest pain, difficulty breathing, numbness or tingling in the left arm/side.

women might have the same with pain in the back/lower back.
",0,Ambitious,0,0,https://brainly.com/question/9993833,1525648742
"High and low Pacific Islands rely on an economy built from _____.
A.finance and trade 
B.tourism and agriculture
C.mining and manufacturing
",History,"
 the correct option is B Tourism and agriculture

The pacific islands refers to a group of islands in the pacific. the biggest of these islands is Papua Guinea. Others include Tahiti, which belongs to a group of island administered by French. some islands like Fiji, and solomon islands though are independent.
The main economic activity in these islands is agriculture. The islands enjoy a pleasant climate. Papua guinea for example is one of the largest producer of cocoa.  Tourism as an economic activity has also been on the rise as the islands have very beautiful beaches.



",0,Ambitious,0,0,https://brainly.com/question/9929227,1525267657
What latin american leader did the united states arrest in his own country and bring to trial on drug charges?,History,"
The Latin American leader was Manuel Noriega

Manuel Norigea was the ruler of Panama who was a politician/military leader. Between 1983 and 1989 he controlled Panama with an Iron fist, thanks to his close ties to the CIA.

He was removed from Power in Operation Just Cause, which was a full scale invasion of Panama by US forces for the removal of Manuel from power and his capture.


Manuel Noriega eventually spent 17 years in US jails for his crimes.",5,Ambitious,2,2,https://brainly.com/question/9996784,1525669210
"Please help asap please i'll also mark you!! If you have read the whole book of The Great Gatsby can you please message me i need help with some stuff, please and thanks!!",English,"
I havent sorry......................................
",0,Ambitious,0,0,https://brainly.com/question/9949606,1525358426
"Please help asap please i'll also mark you!! If you have read the whole book of The Great Gatsby can you please message me i need help with some stuff, please and thanks!!",English,"
You can message me with some questions
",0,Ambitious,0,0,https://brainly.com/question/9949606,1525358426
The relationship between electricity and magnetism is called a. current. b. electromagnetism. c. a solenoid. d. voltage.,Physics,"
C is the right answer to this!
",0,Ambitious,0,1,https://brainly.com/question/9917139,1525218975
The relationship between electricity and magnetism is called a. current. b. electromagnetism. c. a solenoid. d. voltage.,Physics,"
B is most likely the answer.

Hope this Helped!

;D
",0,Brainly User,0,0,https://brainly.com/question/9917139,1525218975
Which aspect of the contemporary novel the lighting thief best illustration the impact of mythic literature on modren literature?,English,"
It best impacted modern literature by bringing Greek Gods and Mythological stories into a modern taste so that readers could have a better understanding of Greek Mythology.
",0,Helping Hand,0,0,https://brainly.com/question/9974669,1525495666
In the sentence why does Romeo compare his liver to the sea,English,"
I don't remember Romeo comparing his liver, but his love for Juliet to the sea. He compared the two saying his love was never ending, conquered by the ship captain Juliet.

Sorry if you did actually mean liver, haha...
",0,Ambitious,0,1,https://brainly.com/question/9950482,1525362343
Actions intended to benefit others are called ____ behaviors.​,Social studies,"
Answer//////////Prosocial behaviors;///////////////
",4.5,Genius,2,3,https://brainly.com/question/9999952,1525685429
Actions intended to benefit others are called ____ behaviors.​,Social studies,"
Prosocial behaviors is correct

",5,Helping Hand,1,3,https://brainly.com/question/9999952,1525685429
Consider a certain type of nucleus that has a half-life of 32 min. calculate the percent of original sample of nuclides remaining after 1.9 hours have passed,Chemistry,"t1/2 = ln 2 / λ = 0.693 / λ
Where t1/2 is the half life of the element and λ is decay constant.

32 = 0.693 / λ 
λ   = 0.693 / 32          (1) 

Nt = Nο eΛ(-λt)          (2)

Where Nt is atoms at t time, λ is decay constant and t is the time taken.
t = 1.9 hours = 1.9 x 60 min

From (1) and (2),


Nt = Nο e⁻Λ(0.693/32)*1.9*60
Nt =  0.085Nο 

Percentage = (Nt/Nο) x 100%
                   = (0.085Nο/Nο) x 100%
                   = 8.5%

Hence, Percentage of remaining atoms with the original sample is 8.5%

",0,Ambitious,0,0,https://brainly.com/question/9999186,1525681806
"When a driver touches a cars steering wheel on a hot day heat is transferred to the drivers hand by

Radiation 

Conduction 

Electromagnetism 

Convection",Physics,"
Answer is B. Conduction

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Conduction is a heat it transferred to the heat by touching your hand. 


Hope it helped you.

-Charlie

",5,Ambitious,2,2,https://brainly.com/question/9839448,1524775432
"Analyze physical activities from which benefits can be derived. 
It is important to participate in a range of exercises to provide a variety of health benefits. Describe two physical activities available to teens and adults in your community that offer different physical benefits, and briefly describe the benefits of each activity",Health,"
1. Physical activities that are easily available and can help both teens and adults to strengthen muscles and build bone structure include swimming and playing basketball.
2. Physical activities to lose and maintain recommended healthy weight include Aerobic dancing, jumping rope, and gardening.
",0,Ambitious,0,0,https://brainly.com/question/9995098,1525662010
"Questions 10–17: Rewrite the following sentences and capitalize all the proper nouns. 10. Early in april, paula and harry jones left on their trip. 11. They drove their volvo to old bass lake. 12. On their way to the lake, they stopped in toledo, ohio, and in chicago, illinois. 13. The volvo was loaded with supplies, which included a tent, a stove, fishing gear, sleeping bags, and canned food. 14. During their trip, paula and harry read magazines. 15. Harry took copies of reader’s digest, popular mechanics, and sports illustrated. 16. Time and newsweek were the magazines paula liked. 17. On their return trip, they planned to visit the home of abraham lincoln in springfield.",English,"
Anything that sounds like a name, city, month, etc. gets capitalized... So for example the first sentence would be...

Early in April, Paula and Harry Jones left on their trip.

Hope this helps!
",0,Beginner,0,1,https://brainly.com/question/9815666,1524671196
A hummingbird needs 10 grams of sugar and 8 grams of protein each day. one honeysuckle flower provides 20 mg of sugar and 10 mg of protein. one nasturtium flower provides 10 mg of sugar and 10 mg of protein. it takes 5 seconds to feed from a nasturtium and 20 seconds per honeysuckle. how many minutes does it take to get exactly the food it needs?,Biology,"
The hummingbird's nutritional needs daily are 10,000 mg of sugar and 8,000 mg of protein. 

Since one nasturtium flower provides 10 mg of sugar and 10 mg of protein, the hummingbird needs 1000 nasturtium flowers each day for its nutritional needs (10,000/10 = 1000). 
Since one honeysuckle flower provides 20 mg of sugar and 10 mg of protein, the hummingbird needs 500 honeysuckle flowers each day for its nutritional needs. 
If the hummingbird feeds only on nasturtium flowers, then the bird will need 5,000 seconds to get exactly the food it needs. This is calculated based on the information that it takes 5 seconds to feed on a nasturtium: 1000 flowers daily * 5 seconds = 5000 sec = 83,3 min. 
If the hummingbird feeds only on honeysuckle flowers, then the bird will need: 500 flowers * 20 seconds = 10,000 sec = 166,6 min. 
",0,Ambitious,0,0,https://brainly.com/question/9999591,1525683622
"Truman is considered one of the top ten presidents in American history.

True
False",History,"
True...........................??????
",5,Beginner,2,1,https://brainly.com/question/9840960,1524783589
"Truman is considered one of the top ten presidents in American history.

True
False",History,"
That would be true. The top 10 Presidents are Teddy Roosevelt, Thomas Jefferson, Harry S. Truman, Dwight D. Eisenhower, Bill Clinton, Andrew Jackson and Woodrow Wilson, Franklin D, Roosevelt, George Washington, and Abraham Lincoln.

Have a nice day!",5,Helping Hand,1,1,https://brainly.com/question/9840960,1524783589
